year,puma,statefip,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,cntygp97,cntygp98,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,29,5,1794,35880,77280.747,36466.293,0.145,0.045,0.023,0.013,0.492,0.413,0.682,133466.804,193872.963,-3016.708,30802.676,38544.81,0.582,0.418,NA,NA,NA,NA,0.113,0.983,0.017,0,0.144,3.353,49.347,1855.221,0.02,0.026,0.005,0.004,0.011,0.471,0.015,0.021,0.018
1960,30,5,1469,29380,56846.719,12422.27,0.196,0.047,0.025,0.016,0.619,0.596,0.785,122079.227,142820.125,-2835.941,30300.934,30699.548,0.396,0.604,NA,NA,NA,NA,0.106,0.616,0.382,0,0.152,3.909,47.069,2996.704,0.039,0.042,0.012,0.002,0.019,0.529,0.026,0.04,0.021
1960,31,5,1880,37600,64638.616,13455.544,0.182,0.051,0.018,0.007,0.613,0.402,0.792,143176.507,185096.9,-3327.206,27165.121,28883.615,0.403,0.597,NA,NA,NA,NA,0.079,0.58,0.419,0,0.177,3.902,49.32,2803.935,0.033,0.032,0.017,0.007,0.016,0.538,0.024,0.031,0.017
1960,32,5,1332,26640,66105.374,33082.954,0.116,0.03,0.014,0.011,0.494,0.764,0.684,102840.183,179986.527,-2561.285,28755.947,31711.934,0.545,0.455,NA,NA,NA,NA,0.087,0.818,0.182,0,0.164,3.548,49.878,2449.192,0.029,0.022,0.008,0,0.017,0.397,0.022,0.035,0.018
1960,33,5,1022,20440,72255.254,37441.135,0.139,0.048,0.015,0.006,0.465,0.416,0.647,117078.686,175484.292,0,33131.527,43332.888,0.647,0.353,NA,NA,NA,NA,0.123,0.9,0.1,0,0.145,3.472,48.414,1642.79,0.016,0.019,0.014,0.006,0.012,0.449,0.014,0.016,0.018
1960,34,5,970,19400,65209.367,35952.65,0.096,0.022,0.015,0.013,0.444,0.735,0.617,91142.236,152751.147,0,26731.769,35388.04,0.678,0.322,NA,NA,NA,NA,0.114,0.936,0.063,0,0.174,3.242,52.295,1695.558,0.023,0.019,0.004,0.002,0.014,0.355,0.018,0.023,0.016
1960,35,5,1310,26200,85372.333,38419.025,0.247,0.103,0.043,0.017,0.539,0.093,0.717,274004.534,174495.867,0,39918.821,48133.731,0.7,0.3,NA,NA,NA,NA,0.165,0.944,0.053,0,0.176,3.253,48.702,4852.586,0.042,0.023,0.01,0.004,0.026,0.005,0.034,0.038,0.01
1960,36,5,998,19960,68582.496,37415.66,0.1,0.024,0.005,0.002,0.433,0.727,0.598,92118.062,169586.265,0,25873.299,34961.403,0.714,0.286,NA,NA,NA,NA,0.108,0.957,0.043,0,0.138,3.181,53.73,2296.639,0.026,0.021,0.011,0.005,0.017,0.344,0.023,0.029,0.021
1960,37,5,1449,28980,73037.873,36854.069,0.146,0.052,0.024,0.014,0.488,0.415,0.667,126186.944,174524.668,0,32411.946,44932.854,0.62,0.38,NA,NA,NA,NA,0.125,0.88,0.119,0,0.17,3.108,51.609,1914.298,0.023,0.016,0.004,0.006,0.013,0.458,0.016,0.022,0.021
1960,38,5,1542,30840,76084.089,35022.964,0.17,0.051,0.026,0.015,0.541,0.411,0.707,140834.972,171737.055,-2570.801,36117.37,42304.689,0.571,0.429,NA,NA,NA,NA,0.139,0.67,0.329,0,0.18,3.519,49.545,3378.837,0.036,0.034,0.009,0.004,0.02,0.478,0.027,0.034,0.027
1960,39,5,1488,29760,60167.006,32184.687,0.136,0.035,0.02,0.014,0.502,0.584,0.679,101737.432,144188.52,-1358.298,26896.39,30783.887,0.571,0.429,NA,NA,NA,NA,0.093,0.616,0.384,0,0.175,3.69,50.796,2036.472,0.026,0.027,0.006,0.004,0.016,0.469,0.02,0.027,0.02
